voxel 25 silver_ore
voxel 38 iron_ore
voxel 11 fullslab
voxel 104 granite
voxel 74 flower_yellow
voxel 103 dead_grass
voxel 94 gold_ore
voxel 42 stonebrick
voxel 58 glass_pane
voxel 18 forestgrass
voxel 2 ardoise
voxel 76 darkplanks_stairs
voxel 77 brick_stairs
voxel 33 grass
voxel 4 diamond_ore
voxel 78 planks_slab
voxel 59 whiteplanks_slab
voxel 85 lava
voxel 75 stonebrick_stairs
voxel 7 path
voxel 57 vine
voxel 5 slab
voxel 34 cactus
voxel 26 soil
voxel 39 planks
voxel 102 ladder
voxel 24 bricks_slab
voxel 92 bricks
voxel 31 wood_sign
voxel 15 flower_red
voxel 63 whool
voxel 29 web
voxel 27 rock
voxel 98 cobble_stairs
voxel 21 stonebrick_mossy
voxel 96 whiteplanks
voxel 71 snow
voxel 28 wood_door
voxel 41 glowing
voxel 19 cobble_wall
voxel 56 wood
voxel 16 drygrass
voxel 70 wood_sign_post
voxel 99 stonebrick_slab
voxel 69 sand
voxel 90 pineleaves
voxel 8 darkplanks
voxel 87 stonebrick_cracked
voxel 6 snowblock
voxel 1 fancy_granite
voxel 17 grass_prop
voxel 65 dirt
voxel 83 redbricks
voxel 97 ardoise_stairs
voxel 44 hard_rock
voxel 22 iron_door_top
voxel 12 bamboo
voxel 81 flower_purple
voxel 95 fancy_andesite
voxel 64 birchwood
voxel 61 hay
voxel 91 hellearth
voxel 100 stone
voxel 9 andesite
voxel 13 gravel
voxel 37 torch
voxel 62 glass
voxel 93 hard_sand
voxel 23 mushroom_brown
voxel 53 iron_door
voxel 72 coal_ore
voxel 30 wood_fence
voxel 47 flower_blue
voxel 60 copper_ore
voxel 46 birchleaves
voxel 84 smoothstone
voxel 35 whiteplanks_stairs
voxel 73 goldplanks_slab
voxel 43 planks_stairs
voxel 48 ice
voxel 50 cobble_slab
voxel 82 wood_chest
voxel 3 ironGrill
voxel 79 darkplanks_slab
voxel 86 goldplanks
voxel 68 hardsand_slab
voxel 20 wood_door_top
voxel 54 leaves
voxel 80 cobble_mossy
voxel 10 cobble
voxel 51 mushroom_red
voxel 88 colored
voxel 52 hardsand_stairs
voxel 66 fancy_marble
voxel 101 ardoise_slab
voxel 67 water
voxel 14 gold_block
voxel 89 goldplanks_stairs
voxel 49 iron_block
voxel 55 flower_orange
voxel 36 flower_white
voxel 40 pinewood
voxel 32 rails
voxel 0 air
voxel 45 glowoff
item 21 iron_bar
item 11 apple
item 17 iron_pickaxe
item 1 bread
item 18 coal
item 16 item_voxel_1x2
item 4 steak
item 19 ble
item 9 copper_bar
item 10 iron_axe
item 14 diamond
item 2 soup
item 13 mag_ak47
item 12 gold_bar
item 20 stick
item 22 weapon_ak47
item 5 arrow
item 7 pie
item 15 item_voxel
item 6 bow
item 3 cookie
item 8 iron_shovel
entity 3 player
entity 1 groundItem
entity 2 zombie
